site_id,Site_name,year,month,month_no,monthly_total,annual_total
4,Allston,2013,January,1,1.369999969,36.13999917
4,Allston,2013,February,2,3.39999992,36.13999917
4,Allston,2013,March,3,1.859999958,36.13999917
4,Allston,2013,April,4,1.439999968,36.13999917
4,Allston,2013,May,5,3.809999917,36.13999917
4,Allston,2013,June,6,9.859999781,36.13999917
4,Allston,2013,July,7,3.169999924,36.13999917
4,Allston,2013,August,8,1.779999955,36.13999917
4,Allston,2013,September,9,2.06999995,36.13999917
4,Allston,2013,October,10,0.469999989,36.13999917
4,Allston,2013,November,11,2.919999927,36.13999917
4,Allston,2013,December,12,3.989999915,36.13999917
7,Charlestown,2013,January,1,1.449999968,35.51999914
7,Charlestown,2013,February,2,3.339999925,35.51999914
7,Charlestown,2013,March,3,1.77999996,35.51999914
7,Charlestown,2013,April,4,1.559999965,35.51999914
7,Charlestown,2013,May,5,3.549999908,35.51999914
7,Charlestown,2013,June,6,8.869999785,35.51999914
7,Charlestown,2013,July,7,3.529999902,35.51999914
7,Charlestown,2013,August,8,1.61999996,35.51999914
7,Charlestown,2013,September,9,2.19999994,35.51999914
7,Charlestown,2013,October,10,0.45999999,35.51999914
7,Charlestown,2013,November,11,2.919999929,35.51999914
7,Charlestown,2013,December,12,4.239999905,35.51999914
3,Dorch-Adams,2013,January,1,1.389999969,42.76999897
3,Dorch-Adams,2013,February,2,3.689999914,42.76999897
3,Dorch-Adams,2013,March,3,2.319999948,42.76999897
3,Dorch-Adams,2013,April,4,1.749999961,42.76999897
3,Dorch-Adams,2013,May,5,3.459999921,42.76999897
3,Dorch-Adams,2013,June,6,11.54999972,42.76999897
3,Dorch-Adams,2013,July,7,4.619999876,42.76999897
3,Dorch-Adams,2013,August,8,2.549999934,42.76999897
3,Dorch-Adams,2013,September,9,3.089999923,42.76999897
3,Dorch-Adams,2013,October,10,0.789999982,42.76999897
3,Dorch-Adams,2013,November,11,3.029999925,42.76999897
3,Dorch-Adams,2013,December,12,4.529999899,42.76999897
6,Dorch-Talbot,2013,January,1,1.299999971,40.78999904
6,Dorch-Talbot,2013,February,2,3.529999921,40.78999904
6,Dorch-Talbot,2013,March,3,2.019999955,40.78999904
6,Dorch-Talbot,2013,April,4,1.759999961,40.78999904
6,Dorch-Talbot,2013,May,5,3.689999912,40.78999904
6,Dorch-Talbot,2013,June,6,10.59999974,40.78999904
6,Dorch-Talbot,2013,July,7,3.769999893,40.78999904
6,Dorch-Talbot,2013,August,8,2.249999955,40.78999904
6,Dorch-Talbot,2013,September,9,3.629999904,40.78999904
6,Dorch-Talbot,2013,October,10,0.749999983,40.78999904
6,Dorch-Talbot,2013,November,11,3.039999934,40.78999904
6,Dorch-Talbot,2013,December,12,4.449999902,40.78999904
5,Hyde Park,2013,January,1,1.399999969,42.68999898
5,Hyde Park,2013,February,2,3.499999922,42.68999898
5,Hyde Park,2013,March,3,2.429999946,42.68999898
5,Hyde Park,2013,April,4,1.959999954,42.68999898
5,Hyde Park,2013,May,5,3.099999918,42.68999898
5,Hyde Park,2013,June,6,10.25999976,42.68999898
5,Hyde Park,2013,July,7,4.709999884,42.68999898
5,Hyde Park,2013,August,8,2.529999936,42.68999898
5,Hyde Park,2013,September,9,4.359999886,42.68999898
5,Hyde Park,2013,October,10,0.90999998,42.68999898
5,Hyde Park,2013,November,11,3.139999922,42.68999898
5,Hyde Park,2013,December,12,4.389999906,42.68999898
8,Longwood,2013,January,1,1.459999967,36.31999915
8,Longwood,2013,February,2,3.449999923,36.31999915
8,Longwood,2013,March,3,1.999999957,36.31999915
8,Longwood,2013,April,4,1.599999964,36.31999915
8,Longwood,2013,May,5,3.819999911,36.31999915
8,Longwood,2013,June,6,9.169999782,36.31999915
8,Longwood,2013,July,7,3.819999902,36.31999915
8,Longwood,2013,August,8,1.69999996,36.31999915
8,Longwood,2013,September,9,2.009999948,36.31999915
8,Longwood,2013,October,10,0.619999986,36.31999915
8,Longwood,2013,November,11,2.859999934,36.31999915
8,Longwood,2013,December,12,3.809999917,36.31999915
2,Roslindale,2013,January,1,1.519999966,41.65999901
2,Roslindale,2013,February,2,4.029999906,41.65999901
2,Roslindale,2013,March,3,2.559999941,41.65999901
2,Roslindale,2013,April,4,1.919999955,41.65999901
2,Roslindale,2013,May,5,3.699999908,41.65999901
2,Roslindale,2013,June,6,10.23999975,41.65999901
2,Roslindale,2013,July,7,3.439999912,41.65999901
2,Roslindale,2013,August,8,2.109999955,41.65999901
2,Roslindale,2013,September,9,3.679999901,41.65999901
2,Roslindale,2013,October,10,0.789999982,41.65999901
2,Roslindale,2013,November,11,3.139999935,41.65999901
2,Roslindale,2013,December,12,4.529999904,41.65999901
1,Union Park PS,2013,January,1,1.419999968,39.58999906
1,Union Park PS,2013,February,2,4.019999908,39.58999906
1,Union Park PS,2013,March,3,2.379999947,39.58999906
1,Union Park PS,2013,April,4,1.589999964,39.58999906
1,Union Park PS,2013,May,5,3.509999925,39.58999906
1,Union Park PS,2013,June,6,10.48999974,39.58999906
1,Union Park PS,2013,July,7,3.739999898,39.58999906
1,Union Park PS,2013,August,8,1.899999958,39.58999906
1,Union Park PS,2013,September,9,2.439999942,39.58999906
1,Union Park PS,2013,October,10,0.659999985,39.58999906
1,Union Park PS,2013,November,11,2.959999921,39.58999906
1,Union Park PS,2013,December,12,4.479999904,39.58999906
